Year,Country Name,Country Code,Gini index [SI.POV.GINI] - 2021 [YR2021],Gini_Index_Rank,Price level index (GDP) [PA.NUS.GDP.PLI] - 2021 [YR2021],Price_Level_Index_Rank,Consumer price index (2010 = 100) [FP.CPI.TOTL] - 2021 [YR2021],Consumer_Price_Index_Rank,Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS] - 2021 [YR2021],Natural_Resources_Rents_Rank,UHC service coverage index [SH_UHC_SCI] - 2021 [YR2021],UHC_Service_Coverage_Rank
2021,United Arab Emirates,ARE,,68,64.3313052785729,146,112.345016399902,18,17.634095847399,152,84.0,8
2021,United Kingdom,GBR,32.4,24,92.00471084282,179,123.848714629184,70,0.588544260440276,58,88.0,4
2021,United States,USA,39.7,51,100.0,187,124.266413825838,73,1.27994423022721,75,87.0,5
2021,Uruguay,URY,40.8,55,60.7566206370559,136,239.976021238332,155,1.92773520463627,88,83.0,9
2021,Uzbekistan,UZB,32.9,26,24.4226495249425,7,355.018882210762,166,20.46516083278,159,79.0,13
2021,Vanuatu,VUT,,68,99.0868937359439,186,126.262874104585,81,0.568069760913224,57,53.0,37
2021,"Venezuela, RB",VEN,,68,,201,,178,,181,77.0,15
2021,Viet Nam,VNM,,68,30.7429968389287,30,171.880422664063,129,2.54701708790768,95,71.0,21
2021,Virgin Islands (U.S.),VIR,,68,90.7823741436005,178,,178,,181,,59
2021,West Bank and Gaza,PSE,,68,64.9577372979557,147,113.070878047339,23,0.0,1,66.0,26
2021,"Yemen, Rep.",YEM,,68,,201,,178,,181,45.0,44
2021,Zambia,ZMB,,68,32.1766926776756,36,299.818966181342,158,35.2641479964325,176,56.0,34
2021,Zimbabwe,ZWE,,68,54.1445493698119,127,5411.00244498777,175,6.39845161112644,119,57.0,33
2021,,,,68,,201,,178,,181,,59
2021,,,,68,,201,,178,,181,,59
2021,,,,68,,201,,178,,181,,59
