Country,Year,Econ_Index,Institutional_Index,Quality_Of_Life_Index_FA,Sustainability_Index_FA,Weight_Scheme,Economic_Weight,Institutional_Weight,Quality_of_Life_Weight,Sustainability_Weight,Sensitivity_EoLI_Score,Sensitivity_EoLI_Rank,Baseline_Rank,Rank_Change_vs_Baseline
Denmark,1972,-0.741,-0.27551,0.688,0.79756,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.10630649999999996,10,10,0
Germany,1972,-0.823,-0.28509,0.441,0.48576,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.04980850000000002,24,24,0
Algeria,1972,-0.873,-0.03852,-1.919,-1.29993,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-1.0945194999999999,232,232,0
Colombia,1972,-0.977,-0.85533,-0.327,0.13402,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.5524295,100,100,0
Canada,1972,-0.716,0.60655,0.536,-0.24135,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.124035,9,9,0
Switzerland,1972,-0.557,0.06456,0.762,0.60612,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.234508,1,1,0
Costa Rica,1972,-0.84,-0.49061,-0.184,-0.55478,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.4802695,94,94,0
Chile,1972,-0.988,-0.76622,-0.524,-0.81507,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.7442155,127,127,0
China,1972,-0.737,-0.27248,-0.571,-0.49256,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.5261039999999999,95,95,0
Malta,1973,-0.865,-0.52132,0.208,0.19155,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.24504750000000003,69,69,0
Morocco,1973,-0.796,-0.2956,-1.699,-0.8722,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.99838,205,205,0
Mexico,1973,-0.947,-0.40362,-0.793,-0.93598,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.755602,134,134,0
Kuwait,1973,-0.363,-0.30415,0.182,0.38459,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.04539899999999999,28,28,0
Georgia,1973,-0.923,-0.4269,0.307,0.48945,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.15660750000000004,54,54,0
Greece,1973,-0.959,-0.7251,0.611,0.16677,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.1821595,60,60,0
Malaysia,1973,-0.89,-0.33779,-0.367,-0.41001,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.496899,98,98,0
Hungary,1973,-0.88,-0.25525,0.416,0.52346,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.05969350000000004,34,34,0
Indonesia,1973,-1.09,0.89846,-1.089,-0.76959,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.5444735,100,100,0
India,1973,-0.932,0.1138,-1.261,-1.05166,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.803649,141,141,0
Ireland,1973,-0.931,-0.51845,0.372,0.41045,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.17059500000000005,55,55,0
Iceland,1973,-0.536,-0.60339,0.55,0.37453,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.03616800000000003,24,24,0
Israel,1973,-0.792,-0.35577,0.552,0.22999,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.05924399999999998,33,33,0
Italy,1973,-0.869,-0.41952,0.446,0.37241,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.11016850000000003,45,45,0
Japan,1973,-0.833,-0.47476,0.409,0.47141,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.11307850000000004,46,46,0
Sweden,1973,-0.374,-0.17207,0.872,-0.1225,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.15030749999999996,3,3,0
Thailand,1973,-0.918,-0.50994,-0.22,-0.09086,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.447614,93,93,0
Tunisia,1973,-0.869,-0.29887,-0.694,-1.15921,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.708749,120,120,0
Uruguay,1973,-1.049,-0.47985,0.344,0.2487,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.2245075,65,65,0
United States,1973,-0.539,-0.61036,0.259,0.38664,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.13869400000000004,48,48,0
South Africa,1973,-0.784,-0.41265,-1.061,-1.00909,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.8218759999999999,144,144,0
Nicaragua,1973,-0.849,-0.44411,-1.143,-1.15971,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.8972839999999999,173,173,0
Netherlands,1973,-0.854,-0.28578,0.355,0.04663,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.15370050000000005,52,52,0
Norway,1973,-0.591,-0.11802,0.483,0.08027,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.0038354999999999813,15,15,0
Nepal,1973,-0.918,0.09247,-1.683,-1.1155,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.9627574999999999,197,197,0
New Zealand,1973,-0.846,-0.35355,0.457,0.27072,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.09932949999999996,43,43,0
Pakistan,1973,-1.035,0.97711,-1.297,-1.13056,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6380064999999999,110,110,0
Panama,1973,-0.867,-0.42719,-0.002,0.15361,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.301206,79,79,0
Peru,1973,-0.827,-0.31553,-1.423,-0.85628,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.9121245,177,177,0
Philippines,1973,-1.029,0.05833,-0.971,-0.6313,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6772125,114,114,0
Portugal,1973,-0.676,-0.43688,-0.125,-0.0716,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.33271000000000006,81,81,0
Qatar,1973,-0.544,-0.49609,-0.266,-0.07362,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.36416550000000003,86,86,0
United Kingdom,1973,-0.84,-0.66625,0.491,0.42658,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.14072550000000006,50,50,0
Saudi Arabia,1973,-0.676,-0.78135,-1.4,-0.86353,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.9838669999999999,203,203,0
Singapore,1973,-0.904,-0.52092,0.346,0.35855,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.18134750000000005,59,59,0
France,1973,-0.77,-0.26675,0.366,-0.00488,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.13181950000000003,47,47,0
Brazil,1973,-0.496,-1.24721,-0.552,-0.72735,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.738105,127,127,0
Bahrain,1973,-0.629,-0.45468,-0.174,-0.01579,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.3341885,82,82,0
Belgium,1973,-0.695,-0.0337,0.488,-0.09765,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.026022499999999997,21,21,0
Austria,1973,-0.831,-0.42826,0.456,0.5211,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.07704999999999997,39,39,0
Australia,1973,-0.749,-0.24423,0.481,0.15152,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.057229500000000044,31,31,0
Argentina,1973,-0.317,-0.07731,0.041,0.32429,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.035584,23,23,0
United Arab Emirates,1973,-0.132,-1.39481,-0.507,-0.50193,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6344420000000001,109,109,0
Poland,1973,-0.075,-0.23298,0.457,0.23906,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.118814,5,5,0
Jordan,1973,-0.886,-0.24658,-0.607,-0.80211,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6159115,106,106,0
Cyprus,1973,0.447,-0.43066,0.171,-0.52998,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.015561999999999993,19,19,0
Finland,1973,-0.872,-0.5635,0.238,0.13639,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.2551165,71,71,0
