Year,Country,Ease_of_Living_Rank
1985,Sub-Saharan Africa,177
1985,Sudan,178
1985,Lesotho,179
1985,Mongolia,180
1985,Lebanon,181
1985,Middle income,182
1985,Papua New Guinea,183
1985,Maldives,184
1985,Middle East & North Africa (IDA & IBRD countries),185
1985,Middle East & North Africa (excluding high income),186
1985,El Salvador,187
1985,Benin,188
1985,Morocco,189
1985,Peru,190
1985,Pakistan,191
1985,Kiribati,192
1985,Arab World,193
1985,India,194
1985,Nauru,195
1985,Indonesia,196
1985,Madagascar,197
1985,Haiti,198
1985,South Asia (IDA & IBRD),199
1985,Zambia,200
1985,Heavily indebted poor countries (HIPC),201
1985,Guinea-Bissau,202
1985,"Yemen, Rep.",203
1985,Bhutan,204
1985,Kenya,204
1985,Liberia,205
1985,Ethiopia,206
1985,Gabon,207
1985,Low income,208
1985,Sierra Leone,209
1985,"Congo, Rep.",210
1985,IDA blend,211
1985,Mali,212
1985,Mauritania,213
1985,Burundi,214
1985,Nigeria,215
1985,Burkina Faso,216
1985,Equatorial Guinea,217
1985,Rwanda,218
1985,Namibia,219
1985,Myanmar,220
1985,Malawi,221
1985,Nicaragua,222
1985,South Sudan,223
1985,"Gambia, The",224
1985,"Congo, Dem. Rep.",225
1985,Nepal,226
1985,Comoros,227
1985,Guinea,228
1985,Tanzania,229
1985,Timor-Leste,230
1985,Uganda,231
1985,Somalia,232
1985,Niger,233
1985,Pre-demographic dividend,234
1985,Chad,235
1985,Mozambique,236
1985,Angola,237
1985,Africa Eastern and Southern,238
1985,Africa Western and Central,239
1985,Afghanistan,240
1986,Switzerland,1
1986,Sweden,2
1986,Iceland,3
1986,Japan,4
1986,Norway,5
1986,France,6
1986,Italy,7
1986,Netherlands,8
1986,OECD members,9
1986,Belgium,10
1986,Austria,11
1986,Puerto Rico,12
1986,Canada,13
1986,Finland,14
1986,Spain,15
1986,Gibraltar,16
1986,Bermuda,17
1986,European Union,18
1986,United States,19
1986,Australia,20
1986,Qatar,21
1986,Bahrain,22
1986,Denmark,23
1986,United Kingdom,24
