Year,Country,Economic_Rank
1973,Kyrgyz Republic,21
1973,Late-demographic dividend,21
1973,Lao PDR,21
1973,Montenegro,22
1973,Argentina,23
1973,Antigua and Barbuda,24
1973,Arab World,24
1973,Kuwait,25
1973,Sweden,27
1973,Switzerland,28
1973,Samoa,29
1973,Rwanda,29
1973,Suriname,30
1973,Sudan,30
1973,Sub-Saharan Africa (IDA & IBRD countries),30
1973,Sub-Saharan Africa (excluding high income),30
1973,Sub-Saharan Africa,30
1973,Puerto Rico,31
1973,Upper middle income,32
1973,Brazil,33
1973,Botswana,35
1973,British Virgin Islands,36
1973,Bolivia,37
1973,Bhutan,38
1973,Serbia,39
1973,Brunei Darussalam,40
1973,Burkina Faso,40
1973,North Macedonia,41
1973,Cabo Verde,42
1973,Burundi,42
1973,Iceland,43
1973,Bulgaria,44
1973,United States,45
1973,Qatar,46
1973,North America,47
1973,Romania,48
1973,Azerbaijan,49
1973,Kenya,50
1973,Kazakhstan,50
1973,Kiribati,50
1973,"Bahamas, The",51
1973,Belarus,52
1973,Armenia,53
1973,Aruba,54
1973,Barbados,55
1973,Norway,56
1973,Chile,57
1973,IDA only,58
1973,IDA total,59
1973,Bahrain,60
1973,OECD members,62
1973,Oman,62
1973,Dominica,63
1973,Dominican Republic,63
1973,Early-demographic dividend,63
1973,Djibouti,63
1973,Sao Tome and Principe,64
1973,Senegal,64
1973,Bermuda,65
1973,Belize,65
1973,Benin,65
1973,Denmark,66
1973,Bangladesh,67
1973,Portugal,68
1973,Saudi Arabia,68
1973,Caribbean small states,69
1973,Cameroon,69
1973,Central African Republic,69
1973,Cambodia,69
1973,Canada,70
1973,Belgium,71
1973,Mongolia,72
1973,Channel Islands,73
1973,Central Europe and the Baltics,73
1973,Chad,73
1973,Virgin Islands (U.S.),75
1973,World,75
1973,Zimbabwe,75
1973,Zambia,75
1973,"Yemen, Rep.",75
1973,Tuvalu,76
1973,Uganda,76
1973,Ukraine,77
1973,Germany,78
1973,Australia,79
1973,Post-demographic dividend,80
1973,Pre-demographic dividend,81
1973,France,82
1973,Moldova,83
1973,Middle income,84
1973,Ghana,85
1973,Middle East & North Africa (excluding high income),86
1973,South Africa,87
